,Unnamed: 0,id,общая информация,Дата,Команда1,счет1,Команда2,счет2,Температура,Признак погоды,поб1,X,поб2,ТМ 2.5,ТБ 2.5,Матчи 1,Матчи 2,Отдых: дни (часы) 1,Отдых: дни (часы) 2,Победы 1,Победы 2,Ничьи 1,Ничьи 2,Поражения 1,Поражения 2,Забито голов 1,Забито голов 2,Пропущено голов 1,Пропущено голов 2,Забито голов за игру 1,Забито голов за игру 2,Пропущено голов за игру 1,Пропущено голов за игру 2,Сухие матчи 1,Сухие матчи 2,обе забьют 1,обе забьют 2,Тотал больше 2.5 1,Тотал больше 2.5 2,Тотал меньше 2.5 1,Тотал меньше 2.5 2,Удары 1,Удары 2,Удары  (соперник) 1,Удары  (соперник) 2,Удары в створ 1,Удары в створ 2,Удары в створ  (соперник) 1,Удары в створ  (соперник) 2,Владение 1,Владение 2,Владение  (соперник) 1,Владение  (соперник) 2,Угловые 1,Угловые 2,Угловые  (соперник) 1,Угловые  (соперник) 2,Нарушения 1,Нарушения 2,Нарушения  (соперник) 1,Нарушения  (соперник) 2,Офсайды 1,Офсайды 2,Офсайды  (соперник) 1,Офсайды  (соперник) 2,Желтые карточки 1,Желтые карточки 2,Желтые карточки  (соперник) 1,Желтые карточки  (соперник) 2,Красные карточки 1,Красные карточки 2,Красные карточки  (соперник) 1,Красные карточки  (соперник) 2
533,533,14898180,"Бундеслига, 10-й тур, регулярный сезон, 02.11.2019 16:30",02.11.2019 16:30,Вердер,2,Фрайбург,2,+18°C,переменная облачность,1.93,3.8,4.1,2.43,1.63,10,10,(68) 2.8,3.8 (92),30%   3,5   50%,40%   4,2   20%,30%   3,3   30%,18,17,18,14,1.8,1.7,1.8,1.4,0,2   20%,80%   8,7   70%,80%   8,7   70%,20%   2,3   30%,12.1,11.13,13.6,14.88,4.7,3.25,5.0,5.25,50.89,48.88,49.11,51.13,4.0,4.13,6.8,5.88,11.33,10.0,13.33,12.38,1.44,1.25,1.44,1.50,1.4,1.38,1.5,2.0,0.2,0.0,0.3,0.0
534,534,14898181,"Бундеслига, 10-й тур, регулярный сезон, 01.11.2019 21:30",01.11.2019 21:30,Хоффенхайм,3,Падерборн 07,0,+23°C,солнечно,1.47,4.85,7.2,3.04,1.36,10,10,(73) 3.0,2.9 (70),50%   5,1   10%,20%   2,2   20%,30%   3,7   70%,13,11,13,22,1.3,1.1,1.3,2.2,30%   3,1   10%,40%   4,6   60%,50%   5,6   60%,50%   5,4   40%,11.9,11.22,14.2,14.22,4.0,4.89,5.0,6.67,48.4,51.56,51.6,48.44,4.1,6.11,7.3,5.67,12.4,12.63,12.5,11.25,2.1,1.88,2.6,1.88,1.7,1.89,2.3,1.67,0.0,0.0,0.2,0.0
535,535,14898169,"Бундеслига, 9-й тур, регулярный сезон, 27.10.2019 19:00",27.10.2019 19:00,Боруссия М,4,Айнтрахт Франкфурт,2,+21°C,солнечно,2.11,3.88,3.4,2.49,1.51,10,10,(70) 2.9,2.8 (68),40%   4,5   50%,30%   3,2   20%,30%   3,3   30%,15,19,13,15,1.5,1.9,1.3,1.5,20%   2,2   20%,60%   6,7   70%,50%   5,9   90%,50%   5,1   10%,12.0,15.89,12.3,10.44,4.8,5.78,4.8,4.78,54.9,55.33,45.1,44.67,6.3,6.33,5.1,3.44,14.89,13.88,15.33,10.5,3.56,2.13,1.67,1.75,2.3,1.67,2.5,1.44,0.0,0.11,0.0,0.0
536,536,14898170,"Бундеслига, 9-й тур, регулярный сезон, 27.10.2019 16:30",27.10.2019 16:30,Вольфсбург,0,Аугсбург,0,+19°C,переменная облачность,1.64,4.15,5.7,2.22,1.74,10,10,(67) 2.8,8.0 (191),30%   3,2   20%,70%   7,3   30%,0,5   50%,13,15,9,23,1.3,1.5,0.9,2.3,20%   2,1   10%,80%   8,8   80%,20%   2,8   80%,80%   8,2   20%,11.4,10.0,9.9,14.4,5.3,4.5,3.3,5.6,51.25,41.8,48.75,58.2,5.0,2.8,4.2,5.3,14.5,11.33,13.13,11.0,2.13,1.89,1.25,2.11,1.8,2.0,1.6,1.2,0.0,0.1,0.0,0.1
537,537,14898168,"Бундеслига, 9-й тур, регулярный сезон, 26.10.2019 19:30",26.10.2019 19:30,Байер,2,Вердер,2,+20°C,солнечно,1.72,4.25,4.8,2.32,1.58,10,10,(94) 3.9,7.1 (170),30%   3,3   30%,20%   2,3   30%,50%   5,4   40%,10,19,15,19,1.0,1.9,1.5,1.9,30%   3,0,30%   3,8   80%,60%   6,8   80%,40%   4,2   20%,14.3,12.22,8.4,13.0,5.0,5.11,4.3,5.22,64.3,51.75,35.7,48.25,6.3,4.89,1.6,6.56,11.9,10.75,11.6,14.13,2.4,1.63,2.8,1.38,1.3,1.11,1.6,1.67,0.0,0.22,0.1,0.33
538,538,14898167,"Бундеслига, 9-й тур, регулярный сезон, 26.10.2019 16:30",26.10.2019 16:30,Бавария,2,Унион Берлин,1,+20°C,переменная облачность,1.12,11.25,24.0,3.98,1.2,10,10,(89) 3.7,7.0 (167),70%   7,3   30%,20%   2,2   20%,10%   1,5   50%,33,11,12,14,3.3,1.1,1.2,1.4,30%   3,2   20%,70%   7,5   50%,90%   9,5   50%,10%   1,5   50%,20.1,10.3,10.3,12.0,7.9,3.7,4.4,4.8,63.4,42.89,36.6,57.11,7.8,3.5,4.3,4.0,9.9,15.75,11.6,11.38,0.9,1.63,1.1,1.50,1.8,1.2,1.7,0.9,0.0,0.3,0.1,0.1
539,539,14898171,"Бундеслига, 9-й тур, регулярный сезон, 26.10.2019 16:30",26.10.2019 16:30,Герта,2,Хоффенхайм,3,+19°C,переменная облачность,2.15,3.7,3.44,2.36,1.66,10,10,(167) 7.0,5.8 (140),50%   5,4   40%,20%   2,2   20%,30%   3,4   40%,22,11,14,18,2.2,1.1,1.4,1.8,20%   2,2   20%,60%   6,4   40%,90%   9,6   60%,10%   1,4   40%,10.5,12.0,10.7,15.33,4.6,3.89,4.2,5.44,49.0,48.33,51.0,51.67,3.7,4.56,6.1,7.78,12.9,13.11,14.4,12.67,1.22,2.11,1.67,2.56,1.6,1.56,1.5,2.44,0.0,0.0,0.1,0.11
540,540,14898173,"Бундеслига, 9-й тур, регулярный сезон, 26.10.2019 16:30",26.10.2019 16:30,Фрайбург,2,РБ Лейпциг,1,+26°C,солнечно,4.95,4.1,1.73,2.38,1.65,10,10,(167) 7.0,2.8 (67),60%   6,5   50%,20%   2,3   30%,20%   2,2   20%,20,16,11,12,2.0,1.6,1.1,1.2,30%   3,1   10%,60%   6,8   80%,70%   7,6   60%,30%   3,4   40%,11.5,12.9,14.25,11.2,4.25,5.0,4.5,5.0,47.5,49.3,52.5,50.7,4.13,4.5,6.88,4.2,8.5,12.5,13.38,10.9,0.88,2.50,1.75,3.30,0.88,1.9,2.13,1.6,0.0,0.1,0.0,0.0
541,541,14898174,"Бундеслига, 9-й тур, регулярный сезон, 26.10.2019 16:30",26.10.2019 16:30,Шальке,0,Боруссия Дортмунд,0,+19°C,солнечно,3.26,3.54,2.29,2.08,1.83,10,10,(140) 5.8,2.7 (65),50%   5,4   40%,20%   2,4   40%,30%   3,2   20%,21,19,13,11,2.1,1.9,1.3,1.1,30%   3,5   50%,50%   5,4   40%,70%   7,6   60%,30%   3,4   40%,14.4,11.1,10.1,10.3,5.5,4.8,3.7,3.3,52.89,54.0,47.11,46.0,5.7,5.9,4.3,4.5,13.22,9.78,12.33,12.0,2.44,2.11,1.44,1.89,1.4,1.2,1.7,1.6,0.0,0.0,0.0,0.0
542,542,14898175,"Бундеслига, 9-й тур, регулярный сезон, 26.10.2019 16:30",26.10.2019 16:30,Падерборн 07,2,Фортуна Дюссельдорф,0,+21°C,солнечно,2.54,3.88,2.67,2.7,1.44,10,10,(143) 6.0,7.0 (167),0,4   40%,20%   2,1   10%,80%   8,5   50%,12,20,27,16,1.2,2.0,2.7,1.6,0,2   20%,80%   8,8   80%,80%   8,8   80%,20%   2,2   20%,11.22,12.56,13.22,12.22,4.78,5.0,6.56,5.44,51.11,46.11,48.89,53.89,6.67,3.56,5.33,5.78,12.75,12.5,9.63,13.25,1.63,1.25,2.0,1.50,1.56,2.11,1.44,1.78,0.0,0.0,0.0,0.11
543,543,14898172,"Бундеслига, 9-й тур, регулярный сезон, 25.10.2019 21:30",25.10.2019 21:30,Майнц,3,Кёльн,1,+25°C,солнечно,2.62,3.7,2.67,2.52,1.59,10,10,(148) 6.2,5.2 (124),30%   3,4   40%,0,1   10%,70%   7,5   50%,8,17,20,19,0.8,1.7,2.0,1.9,10%   1,2   20%,50%   5,5   50%,60%   6,8   80%,40%   4,2   20%,12.9,13.3,13.6,13.0,4.2,4.7,5.8,4.2,48.56,45.11,51.44,54.89,5.1,6.1,5.5,5.9,14.0,15.56,11.33,14.22,1.11,2.00,0.56,1.89,2.3,1.9,2.2,1.8,0.1,0.2,0.0,0.0
