,общая информация,Дата,Команда1,счет1,Команда2,счет2,xG1,xG2,Удары1,Удары2,Удары в створ1,Удары в створ2,Сейвы1,Сейвы2,Владение %1,Владение %2,Угловые1,Угловые2,Нарушения1,Нарушения2,Офсайды1,Офсайды2,Желтые карточки1,Желтые карточки2,Красные карточки1,Красные карточки2,Атаки1,Атаки2,Опасные атаки1,Опасные атаки2,Передачи1,Передачи2,Точность передач %1,Точность передач %2,Штрафные удары1,Штрафные удары2,Вбрасывания1,Вбрасывания2,Навесы1,Навесы2,Температура,Признак погоды,дата ПМ1,Пголы1,Пза матч1,Ппобед1,Пничьи1,Ппорож1,дата ПМ2,Пголы2,Пза матч2,Ппобед2,Пничьи2,Ппорож2,поб1,X,поб2,ТМ 2.5,ТБ 2.5
10,"Бундеслига, 2-й тур, регулярный сезон, 13.08.2022 16:30",13.08.2022 16:30,Байер,1,Аугсбург,2,3.07,0.42,23.0,6.0,10.0,4.0,2.0,9.0,60.0,40.0,7.0,3.0,7.0,16.0,3.0,2.0,1.0,6.0,0.0,0.0,140.0,83.0,67.0,32.0,546.0,282.0,79.0,57.0,18.0,11.0,20.0,20.0,32.0,10.0,+16°C,солнечно,"06.08.22, 19:30",11.0,2.2,2.0,1.0,2.0,"06.08.22, 16:30",7.0,1.4,1.0,1.0,3.0,1.31,6.05,9.3,2.85,1.38
11,"Бундеслига, 2-й тур, регулярный сезон, 13.08.2022 16:30",13.08.2022 16:30,РБ Лейпциг,2,Кёльн,2,0.87,1.4,9.0,12.0,5.0,3.0,1.0,3.0,52.0,48.0,2.0,7.0,8.0,18.0,1.0,1.0,1.0,4.0,1.0,0.0,84.0,96.0,42.0,69.0,416.0,373.0,84.0,82.0,17.0,8.0,29.0,20.0,11.0,20.0,+22°C,солнечно,"07.08.22, 16:30",8.0,1.6,2.0,1.0,2.0,"07.08.22, 18:30",13.0,2.6,3.0,0.0,2.0,1.48,5.35,7.1,2.56,1.46
12,"Бундеслига, 2-й тур, регулярный сезон, 12.08.2022 21:30",12.08.2022 21:30,Фрайбург,1,Боруссия Дортмунд,3,0.39,0.55,16.0,16.0,7.0,7.0,4.0,6.0,42.0,58.0,9.0,2.0,16.0,10.0,3.0,2.0,1.0,3.0,0.0,0.0,119.0,108.0,45.0,31.0,301.0,510.0,74.0,84.0,11.0,18.0,21.0,19.0,29.0,15.0,+17°C,солнечно,"06.08.22, 16:30",11.0,2.2,4.0,1.0,0.0,"06.08.22, 19:30",6.0,1.2,2.0,1.0,2.0,3.02,3.9,2.41,2.32,1.55
13,"Бундеслига, 2-й тур, регулярный сезон, 14.08.2022 16:30",14.08.2022 16:30,Майнц,0,Унион Берлин,0,0.6,0.41,10.0,10.0,5.0,2.0,2.0,5.0,48.0,52.0,4.0,4.0,9.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,102.0,96.0,33.0,42.0,393.0,388.0,77.0,77.0,14.0,10.0,22.0,32.0,14.0,13.0,+16°C,ясно,"06.08.22, 16:30",7.0,1.4,3.0,1.0,1.0,"09.08.22, 17:15",10.0,2.0,3.0,2.0,0.0,2.27,3.3,3.42,1.85,2.01
14,"Бундеслига, 2-й тур, регулярный сезон, 13.08.2022 16:30",13.08.2022 16:30,Хоффенхайм,3,Бохум,2,2.7,1.93,24.0,11.0,13.0,5.0,3.0,10.0,55.0,45.0,8.0,2.0,13.0,10.0,2.0,2.0,1.0,1.0,0.0,0.0,102.0,65.0,46.0,28.0,459.0,312.0,84.0,75.0,7.0,13.0,20.0,20.0,22.0,17.0,+22°C,солнечно,"06.08.22, 16:30",10.0,2.0,3.0,1.0,1.0,"06.08.22, 16:30",13.0,2.6,3.0,0.0,2.0,1.58,4.65,5.35,2.53,1.47
15,"Бундеслига, 2-й тур, регулярный сезон, 13.08.2022 16:30",13.08.2022 16:30,Герта,1,Айнтрахт Франкфурт,1,1.98,2.08,11.0,11.0,5.0,1.0,0.0,4.0,43.0,57.0,4.0,5.0,11.0,11.0,1.0,3.0,3.0,1.0,0.0,0.0,87.0,127.0,29.0,50.0,280.0,476.0,76.0,81.0,12.0,12.0,18.0,27.0,12.0,20.0,+23°C,солнечно,"06.08.22, 16:30",7.0,1.4,0.0,0.0,5.0,"10.08.22, 22:00",13.0,2.6,3.0,0.0,2.0,2.91,3.72,2.36,2.19,1.72
16,"Бундеслига, 2-й тур, регулярный сезон, 13.08.2022 19:30",13.08.2022 19:30,Шальке,2,Боруссия М,2,1.69,1.52,14.0,14.0,5.0,9.0,7.0,3.0,35.0,65.0,2.0,7.0,12.0,8.0,2.0,4.0,4.0,2.0,0.0,0.0,74.0,108.0,43.0,32.0,248.0,574.0,75.0,86.0,8.0,13.0,21.0,15.0,22.0,16.0,+23°C,солнечно,"07.08.22, 18:30",13.0,2.6,2.0,1.0,2.0,"06.08.22, 16:30",15.0,3.0,2.0,3.0,0.0,3.24,3.75,2.17,2.38,1.53
17,"Бундеслига, 2-й тур, регулярный сезон, 13.08.2022 16:30",13.08.2022 16:30,Вердер,2,Штутгарт,2,0.87,1.64,5.0,14.0,3.0,7.0,5.0,1.0,55.0,45.0,2.0,5.0,6.0,10.0,0.0,1.0,4.0,2.0,0.0,0.0,138.0,94.0,26.0,27.0,561.0,406.0,84.0,80.0,7.0,6.0,16.0,15.0,15.0,15.0,+20°C,солнечно,"06.08.22, 16:30",11.0,2.2,2.0,2.0,1.0,"07.08.22, 16:30",12.0,2.4,4.0,1.0,0.0,2.29,3.68,3.06,2.3,1.66
18,"Бундеслига, 3-й тур, регулярный сезон, 20.08.2022 16:30",20.08.2022 16:30,Боруссия Дортмунд,2,Вердер,3,0.29,1.43,5.0,14.0,3.0,7.0,4.0,1.0,49.0,51.0,3.0,5.0,13.0,9.0,7.0,3.0,4.0,1.0,0.0,0.0,104.0,108.0,33.0,41.0,426.0,455.0,77.0,79.0,12.0,18.0,28.0,22.0,10.0,11.0,+21°C,солнечно,"12.08.22, 21:30",8.0,1.6,3.0,1.0,1.0,"13.08.22, 16:30",12.0,2.4,2.0,3.0,0.0,1.45,5.55,7.5,2.69,1.42
19,"Бундеслига, 3-й тур, регулярный сезон, 20.08.2022 16:30",20.08.2022 16:30,Байер,0,Хоффенхайм,3,1.3,1.82,14.0,10.0,3.0,5.0,2.0,3.0,53.0,47.0,3.0,1.0,15.0,18.0,1.0,2.0,1.0,4.0,0.0,0.0,115.0,58.0,36.0,27.0,421.0,324.0,85.0,82.0,15.0,16.0,31.0,20.0,17.0,13.0,+16°C,солнечно,"13.08.22, 16:30",6.0,1.2,1.0,1.0,3.0,"13.08.22, 16:30",11.0,2.2,3.0,1.0,1.0,1.59,4.85,5.0,3.2,1.31
20,"Бундеслига, 3-й тур, регулярный сезон, 20.08.2022 19:30",20.08.2022 19:30,Унион Берлин,2,РБ Лейпциг,1,1.66,1.32,9.0,16.0,4.0,2.0,1.0,2.0,33.0,67.0,1.0,13.0,14.0,8.0,5.0,3.0,2.0,1.0,0.0,0.0,68.0,158.0,27.0,60.0,239.0,704.0,70.0,88.0,12.0,18.0,10.0,24.0,12.0,30.0,+23°C,солнечно,"14.08.22, 16:30",7.0,1.4,3.0,2.0,0.0,"13.08.22, 16:30",9.0,1.8,1.0,2.0,2.0,3.54,3.58,2.27,2.01,1.98
21,"Бундеслига, 3-й тур, регулярный сезон, 19.08.2022 21:30",19.08.2022 21:30,Боруссия М,1,Герта,0,2.92,1.34,11.0,18.0,6.0,5.0,5.0,5.0,59.0,41.0,5.0,5.0,7.0,11.0,2.0,5.0,1.0,2.0,0.0,1.0,106.0,81.0,41.0,36.0,586.0,300.0,85.0,80.0,12.0,8.0,28.0,17.0,13.0,13.0,+12°C,ясно,"13.08.22, 19:30",16.0,3.2,2.0,3.0,0.0,"13.08.22, 16:30",8.0,1.6,0.0,1.0,4.0,1.53,4.85,5.7,2.66,1.43
22,"Бундеслига, 3-й тур, регулярный сезон, 21.08.2022 16:30",21.08.2022 16:30,Айнтрахт Франкфурт,1,Кёльн,1,0.56,0.6,10.0,6.0,3.0,2.0,1.0,2.0,60.0,40.0,5.0,9.0,15.0,11.0,4.0,4.0,0.0,1.0,0.0,0.0,109.0,98.0,56.0,46.0,401.0,354.0,77.0,71.0,13.0,18.0,31.0,18.0,17.0,22.0,+14°C,ясно,"13.08.22, 16:30",11.0,2.2,2.0,1.0,2.0,"18.08.22, 21:30",13.0,2.6,2.0,1.0,2.0,2.1,3.92,3.28,2.42,1.6
23,"Бундеслига, 3-й тур, регулярный сезон, 20.08.2022 16:30",20.08.2022 16:30,Вольфсбург,0,Шальке,0,1.32,1.09,16.0,9.0,6.0,2.0,2.0,6.0,70.0,30.0,12.0,4.0,13.0,10.0,2.0,8.0,1.0,3.0,0.0,0.0,163.0,66.0,82.0,29.0,574.0,210.0,87.0,66.0,17.0,14.0,20.0,18.0,37.0,12.0,+21°C,солнечно,"14.08.22, 18:30",10.0,2.0,3.0,1.0,1.0,"13.08.22, 19:30",10.0,2.0,1.0,2.0,2.0,1.86,4.05,3.98,2.39,1.62
24,"Бундеслига, 3-й тур, регулярный сезон, 21.08.2022 18:30",21.08.2022 18:30,Бохум,0,Бавария,7,0.86,3.19,13.0,22.0,7.0,12.0,5.0,7.0,39.0,61.0,5.0,5.0,10.0,6.0,3.0,5.0,1.0,0.0,0.0,0.0,77.0,105.0,30.0,52.0,261.0,502.0,78.0,87.0,11.0,12.0,18.0,15.0,19.0,11.0,+10°C,ясно,"13.08.22, 16:30",13.0,2.6,2.0,0.0,3.0,"14.08.22, 18:30",19.0,3.8,4.0,0.0,1.0,13.0,8.1,1.2,4.05,1.21
25,"Бундеслига, 3-й тур, регулярный сезон, 20.08.2022 16:30",20.08.2022 16:30,Аугсбург,1,Майнц,2,0.23,1.77,6.0,14.0,2.0,7.0,5.0,1.0,54.0,46.0,3.0,3.0,13.0,19.0,1.0,4.0,2.0,2.0,0.0,0.0,90.0,104.0,29.0,48.0,365.0,336.0,73.0,79.0,22.0,13.0,24.0,31.0,10.0,18.0,+11°C,солнечно,"13.08.22, 16:30",9.0,1.8,2.0,1.0,2.0,"14.08.22, 16:30",7.0,1.4,3.0,2.0,0.0,3.74,3.76,1.99,2.06,1.81
26,"Бундеслига, 3-й тур, регулярный сезон, 20.08.2022 16:30",20.08.2022 16:30,Штутгарт,0,Фрайбург,1,0.87,0.99,18.0,9.0,5.0,3.0,2.0,5.0,58.0,42.0,3.0,1.0,8.0,12.0,1.0,3.0,4.0,2.0,0.0,0.0,123.0,93.0,63.0,24.0,542.0,354.0,86.0,79.0,14.0,8.0,20.0,13.0,19.0,9.0,+11°C,ясно,"13.08.22, 16:30",11.0,2.2,3.0,2.0,0.0,"12.08.22, 21:30",11.0,2.2,3.0,1.0,1.0,2.66,3.7,2.57,2.16,1.74
