,id,общая информация,Дата,Команда1,счет1,Команда2,счет2,xG1,xG2,Удары1,Удары2,Удары в створ1,Удары в створ2,Сейвы1,Сейвы2,Владение %1,Владение %2,Угловые1,Угловые2,Нарушения1,Нарушения2,Офсайды1,Офсайды2,Желтые карточки1,Желтые карточки2,Красные карточки1,Красные карточки2,Атаки1,Атаки2,Опасные атаки1,Опасные атаки2,Передачи1,Передачи2,Точность передач %1,Точность передач %2,Штрафные удары1,Штрафные удары2,Вбрасывания1,Вбрасывания2,Навесы1,Навесы2,Температура,Признак погоды,дата ПМ1,Пголы1,Пза матч1,Ппобед1,Пничьи1,Ппорож1,дата ПМ2,Пголы2,Пза матч2,Ппобед2,Пничьи2,Ппорож2,поб1,X,поб2,ТМ 2.5,ТБ 2.5
144,1736979,"Бундеслига, 1-й тур, регулярный сезон, 06.08.2022 19:30",06.08.2022 19:30,Боруссия Дортмунд,1,Байер,0,1.91,1.45,13.0,8.0,4.0,3.0,3.0,3.0,46.0,54.0,3.0,3.0,14.0,13.0,2.0,4.0,2.0,4.0,0.0,1.0,121.0,134.0,53.0,40.0,380.0,477.0,78.0,83.0,14.0,14.0,23.0,24.0,12.0,15.0,+21°C,солнечно,"30.07.22, 18:00",10.0,2.0,2.0,1.0,2.0,"30.07.22, 16:31",11.0,2.2,2.0,1.0,2.0,2.13,4.1,3.45,2.73,1.41
145,1736980,"Бундеслига, 1-й тур, регулярный сезон, 07.08.2022 16:30",07.08.2022 16:30,Штутгарт,1,РБ Лейпциг,1,1.1,2.17,11.0,27.0,2.0,9.0,8.0,1.0,56.0,44.0,1.0,9.0,14.0,9.0,1.0,2.0,2.0,1.0,0.0,0.0,69.0,140.0,17.0,75.0,246.0,541.0,76.0,88.0,11.0,11.0,16.0,21.0,4.0,29.0,+22°C,солнечно,"29.07.22, 19:00",18.0,3.6,5.0,0.0,0.0,"30.07.22, 21:30",8.0,1.6,2.0,1.0,2.0,3.92,3.74,1.95,2.13,1.76
146,1736981,"Бундеслига, 1-й тур, регулярный сезон, 06.08.2022 16:30",06.08.2022 16:30,Аугсбург,0,Фрайбург,4,0.73,1.43,10.0,19.0,2.0,7.0,3.0,2.0,50.0,50.0,5.0,8.0,13.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,60.0,102.0,24.0,51.0,350.0,290.0,82.0,78.0,16.0,12.0,18.0,20.0,9.0,15.0,+22°C,переменная облачность,"31.07.22, 16:31",8.0,1.6,1.0,2.0,2.0,"31.07.22, 16:31",10.0,2.0,4.0,1.0,0.0,3.5,3.56,2.13,1.96,1.9
147,1736982,"Бундеслига, 1-й тур, регулярный сезон, 06.08.2022 16:30",06.08.2022 16:30,Бохум,1,Майнц,2,0.79,1.57,16.0,13.0,3.0,6.0,4.0,2.0,61.0,39.0,3.0,5.0,11.0,16.0,1.0,1.0,2.0,3.0,0.0,0.0,140.0,86.0,36.0,29.0,509.0,325.0,83.0,71.0,14.0,13.0,18.0,27.0,24.0,19.0,+21°C,солнечно,"30.07.22, 14:01",15.0,3.0,4.0,0.0,1.0,"31.07.22, 19:01",9.0,1.8,3.0,1.0,1.0,3.34,3.52,2.21,2.0,1.86
148,1736983,"Бундеслига, 1-й тур, регулярный сезон, 06.08.2022 16:30",06.08.2022 16:30,Боруссия М,3,Хоффенхайм,1,2.32,0.17,18.0,2.0,8.0,1.0,0.0,5.0,56.0,44.0,5.0,1.0,18.0,12.0,2.0,2.0,1.0,4.0,0.0,1.0,84.0,68.0,50.0,22.0,619.0,377.0,88.0,79.0,13.0,16.0,14.0,11.0,22.0,9.0,+23°C,солнечно,"31.07.22, 16:31",17.0,3.4,2.0,3.0,0.0,"31.07.22, 16:31",11.0,2.2,4.0,1.0,0.0,2.07,3.78,3.48,2.73,1.41
149,1736984,"Бундеслига, 1-й тур, регулярный сезон, 06.08.2022 16:30",06.08.2022 16:30,Унион Берлин,3,Герта,1,1.45,0.56,18.0,7.0,8.0,3.0,2.0,5.0,49.0,51.0,5.0,4.0,23.0,17.0,2.0,1.0,2.0,3.0,0.0,0.0,51.0,39.0,28.0,9.0,345.0,378.0,78.0,79.0,14.0,22.0,25.0,26.0,23.0,16.0,+23°C,солнечно,"01.08.22, 19:01",9.0,1.8,4.0,1.0,0.0,"31.07.22, 19:01",7.0,1.4,1.0,0.0,4.0,1.87,3.72,4.3,1.92,1.94
150,1736985,"Бундеслига, 1-й тур, регулярный сезон, 07.08.2022 18:30",07.08.2022 18:30,Кёльн,3,Шальке,1,4.6,0.38,30.0,6.0,10.0,2.0,1.0,7.0,73.0,27.0,9.0,1.0,8.0,10.0,2.0,1.0,0.0,1.0,0.0,1.0,116.0,75.0,88.0,15.0,598.0,199.0,89.0,65.0,9.0,9.0,24.0,13.0,38.0,7.0,+24°C,солнечно,"30.07.22, 16:31",11.0,2.2,2.0,1.0,2.0,"31.07.22, 14:01",12.0,2.4,2.0,2.0,1.0,2.08,3.64,3.58,2.05,1.7
151,1736986,"Бундеслига, 1-й тур, регулярный сезон, 06.08.2022 16:30",06.08.2022 16:30,Вольфсбург,2,Вердер,2,1.15,0.89,13.0,10.0,3.0,5.0,3.0,1.0,59.0,41.0,2.0,5.0,11.0,14.0,1.0,4.0,2.0,2.0,0.0,0.0,135.0,108.0,39.0,31.0,519.0,334.0,78.0,70.0,16.0,11.0,36.0,17.0,16.0,12.0,+21°C,солнечно,"31.07.22, 12:00",19.0,3.8,5.0,0.0,0.0,"01.08.22, 19:01",11.0,2.2,3.0,1.0,1.0,2.11,3.55,3.58,2.08,1.8
152,1736987,"Бундеслига, 2-й тур, регулярный сезон, 12.08.2022 21:30",12.08.2022 21:30,Фрайбург,1,Боруссия Дортмунд,3,0.39,0.55,16.0,16.0,7.0,7.0,4.0,6.0,42.0,58.0,9.0,2.0,16.0,10.0,3.0,2.0,1.0,3.0,0.0,0.0,119.0,108.0,45.0,31.0,301.0,510.0,74.0,84.0,11.0,18.0,21.0,19.0,29.0,15.0,+27°C,солнечно,"06.08.22, 16:30",11.0,2.2,4.0,1.0,0.0,"06.08.22, 19:30",6.0,1.2,2.0,1.0,2.0,3.02,3.9,2.41,2.32,1.55
153,1736988,"Бундеслига, 2-й тур, регулярный сезон, 14.08.2022 16:30",14.08.2022 16:30,Майнц,0,Унион Берлин,0,0.6,0.41,10.0,10.0,5.0,2.0,2.0,5.0,48.0,52.0,4.0,4.0,9.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,102.0,96.0,33.0,42.0,393.0,388.0,77.0,77.0,14.0,10.0,22.0,32.0,14.0,13.0,+23°C,переменная облачность,"06.08.22, 16:30",7.0,1.4,3.0,1.0,1.0,"09.08.22, 17:15",10.0,2.0,3.0,2.0,0.0,2.27,3.3,3.42,1.85,2.01
154,1736989,"Бундеслига, 2-й тур, регулярный сезон, 13.08.2022 16:30",13.08.2022 16:30,РБ Лейпциг,2,Кёльн,2,0.87,1.4,9.0,12.0,5.0,3.0,1.0,3.0,52.0,48.0,2.0,7.0,8.0,18.0,1.0,1.0,1.0,4.0,1.0,0.0,84.0,96.0,42.0,69.0,416.0,373.0,84.0,82.0,17.0,8.0,29.0,20.0,11.0,20.0,+22°C,солнечно,"07.08.22, 16:30",8.0,1.6,2.0,1.0,2.0,"07.08.22, 18:30",13.0,2.6,3.0,0.0,2.0,1.48,5.35,7.1,2.56,1.46
155,1736990,"Бундеслига, 2-й тур, регулярный сезон, 13.08.2022 19:30",13.08.2022 19:30,Шальке,2,Боруссия М,2,1.69,1.52,14.0,14.0,5.0,9.0,7.0,3.0,35.0,65.0,2.0,7.0,12.0,8.0,2.0,4.0,4.0,2.0,0.0,0.0,74.0,108.0,43.0,32.0,248.0,574.0,75.0,86.0,8.0,13.0,21.0,15.0,22.0,16.0,+23°C,солнечно,"07.08.22, 18:30",13.0,2.6,2.0,1.0,2.0,"06.08.22, 16:30",15.0,3.0,2.0,3.0,0.0,3.24,3.75,2.17,2.38,1.53
156,1736991,"Бундеслига, 2-й тур, регулярный сезон, 13.08.2022 16:30",13.08.2022 16:30,Герта,1,Айнтрахт Франкфурт,1,1.98,2.08,11.0,11.0,5.0,1.0,0.0,4.0,43.0,57.0,4.0,5.0,11.0,11.0,1.0,3.0,3.0,1.0,0.0,0.0,87.0,127.0,29.0,50.0,280.0,476.0,76.0,81.0,12.0,12.0,18.0,27.0,12.0,20.0,+23°C,солнечно,"06.08.22, 16:30",7.0,1.4,0.0,0.0,5.0,"10.08.22, 22:00",13.0,2.6,3.0,0.0,2.0,2.91,3.72,2.36,2.19,1.72
