,id,общая информация,Дата,Команда1,счет1,Команда2,счет2,Температура,Признак погоды,поб1,X,поб2,ТМ 2.5,ТБ 2.5,Отдых: дни (часы) 1,Отдых: дни (часы) 2,Победы 1,Победы 2,Ничьи 1,Ничьи 2,Поражения 1,Поражения 2,Забито голов 1,Забито голов 2,Пропущено голов 1,Пропущено голов 2,Забито голов за игру 1,Забито голов за игру 2,Пропущено голов за игру 1,Пропущено голов за игру 2,Сухие матчи 1,Сухие матчи 2,обе забьют 1,обе забьют 2,Тотал больше 2.5 1,Тотал больше 2.5 2,Тотал меньше 2.5 1,Тотал меньше 2.5 2,Удары 1,Удары 2,Удары  (соперник) 1,Удары  (соперник) 2,Удары в створ 1,Удары в створ 2,Удары в створ  (соперник) 1,Удары в створ  (соперник) 2,Владение 1,Владение 2,Владение  (соперник) 1,Владение  (соперник) 2,Угловые 1,Угловые 2,Угловые  (соперник) 1,Угловые  (соперник) 2,Нарушения 1,Нарушения 2,Нарушения  (соперник) 1,Нарушения  (соперник) 2,Офсайды 1,Офсайды 2,Офсайды  (соперник) 1,Офсайды  (соперник) 2,Желтые карточки 1,Желтые карточки 2,Желтые карточки  (соперник) 1,Желтые карточки  (соперник) 2,Красные карточки 1,Красные карточки 2,Красные карточки  (соперник) 1,Красные карточки  (соперник) 2,тотал,country
2506,15347018,"Примера, 21-й тур, регулярный сезон, 24.04.2022 22:00",2022-04-24 22:00:00,Барселона,0,Райо Вальекано,1,24,переменная облачность,1.35,5.35,9.0,2.46,1.52,2.9,3.0,6,1,2,4,2,5,18,7,8,12,1.8,0.7,0.8,1.2,5,1,4,5,5,2,5,8,15.3,13.2,9.5,10.0,5.5,2.9,4.1,4.5,63.8,47.8,36.2,52.2,5.8,6.0,2.7,4.4,8.8,15.2,9.9,13.6,2.1,1.4,2.2,1.8,2.3,3.0,3.0,3.1,0.0,0.2,0.2,0.1,1,"Примера,"
2507,15347019,"Примера, 21-й тур, регулярный сезон, 18.01.2022 21:00",2022-01-18 21:00:00,Бетис,4,Алавес,0,24,облачно,1.58,4.15,6.05,2.02,1.88,2.1,9.0,6,1,1,4,3,5,23,12,12,17,2.3,1.2,1.2,1.7,4,2,5,7,7,6,3,4,11.9,9.78,8.2,13.11,6.1,3.0,4.2,5.11,49.5,43.63,50.5,56.38,5.7,3.89,4.4,3.78,12.63,15.56,15.13,14.0,2.63,1.67,3.13,3.0,1.9,2.67,1.6,2.11,0.1,0.11,0.0,0.0,4,"Примера,"
2508,15347020,"Примера, 21-й тур, регулярный сезон, 19.01.2022 20:00",2022-01-19 20:00:00,Сельта,2,Осасуна,0,19,ясно,1.77,3.76,4.8,1.82,2.1,11.0,10.0,5,3,2,3,3,4,17,12,9,10,1.7,1.2,0.9,1.0,3,3,6,4,6,4,4,6,10.7,12.6,10.4,10.3,4.5,3.9,3.9,2.8,56.89,52.2,43.11,47.8,4.2,5.1,4.5,4.6,13.4,12.0,14.2,10.6,2.8,1.7,1.2,2.4,1.7,1.8,1.8,2.0,0.0,0.1,0.0,0.0,2,"Примера,"
2509,15347021,"Примера, 21-й тур, регулярный сезон, 02.03.2022 22:00",2022-03-02 22:00:00,Мальорка,0,Реал Сосьедад,2,21,солнечно,3.25,3.08,2.46,1.63,2.42,4.3,3.0,4,4,0,3,6,3,10,9,15,13,1.0,0.9,1.5,1.3,0,6,5,2,6,4,4,6,11.7,10.5,10.6,12.8,3.5,3.6,4.3,4.0,48.1,52.5,51.9,47.5,6.1,5.8,4.56,4.9,16.3,12.6,16.5,12.8,2.0,1.9,1.1,2.4,2.6,1.1,3.1,2.7,0.1,0.0,0.2,0.0,2,"Примера,"
2510,15347022,"Примера, 21-й тур, регулярный сезон, 20.01.2022 20:00",2022-01-20 20:00:00,Хетафе,4,Гранада,2,25,солнечно,2.05,3.04,4.5,1.44,2.7,11.0,12.0,4,4,3,4,3,2,12,20,9,12,1.2,2.0,0.9,1.2,5,2,2,7,3,6,7,4,10.8,10.78,9.9,13.56,3.89,4.67,3.0,3.78,39.33,46.0,60.67,54.0,2.8,4.0,4.0,5.0,16.67,11.78,10.44,14.33,2.0,1.89,3.44,3.11,2.2,2.0,2.4,2.22,0.1,0.11,0.2,0.44,6,"Примера,"
2511,15347023,"Примера, 21-й тур, регулярный сезон, 18.01.2022 22:30",2022-01-18 22:30:00,Кадис,2,Эспаньол,2,26,солнечно,3.02,3.08,2.62,1.61,2.26,3.0,3.2,4,6,2,0,4,4,12,16,11,16,1.2,1.6,1.1,1.6,5,1,3,8,3,7,7,3,9.0,11.11,12.8,7.67,3.1,4.56,4.6,3.11,35.33,52.5,64.67,47.5,5.0,6.13,5.6,4.56,12.33,14.22,12.44,16.67,1.56,2.13,2.11,2.5,1.3,2.33,1.6,2.78,0.1,0.13,0.1,0.25,4,"Примера,"
2512,15347024,"Примера, 21-й тур, регулярный сезон, 19.01.2022 22:30",2022-01-19 22:30:00,Валенсия,1,Севилья,1,25,переменная облачность,3.28,3.1,2.66,1.65,2.52,3.3,3.2,7,7,1,1,2,2,20,11,14,6,2.0,1.1,1.4,0.6,2,5,8,4,8,2,2,8,11.6,7.89,10.1,11.78,5.7,2.22,4.3,2.67,44.2,55.75,55.8,44.25,5.8,4.0,3.8,5.22,19.8,11.38,15.3,14.0,1.4,2.25,2.7,1.88,3.1,2.11,3.1,2.0,0.2,0.22,0.0,0.0,2,"Примера,"
2513,15347025,"Примера, 21-й тур, регулярный сезон, 16.01.2022 15:00",2022-01-16 15:00:00,Эльче,1,Вильярреал,0,25,переменная облачность,6.05,3.85,1.63,1.95,1.95,5.7,6.7,5,7,2,1,3,2,14,36,12,11,1.4,3.6,1.2,1.1,3,3,6,6,6,8,4,2,8.0,15.3,12.6,7.9,3.5,7.5,5.3,3.6,52.4,57.22,47.6,42.78,3.0,6.2,5.6,3.7,14.0,11.6,13.9,9.5,2.4,1.89,2.2,4.0,2.8,1.2,1.7,1.2,0.1,0.0,0.1,0.2,1,"Примера,"
2514,15347026,"Примера, 22-й тур, регулярный сезон, 23.01.2022 22:00",2022-01-23 22:00:00,Алавес,0,Барселона,1,11,ясно,5.85,4.0,1.62,1.97,1.93,5.0,2.9,1,3,3,3,6,4,10,15,19,17,1.0,1.5,1.9,1.7,2,1,6,8,6,6,4,4,10.0,12.9,13.22,9.1,2.89,4.5,4.89,4.0,44.5,63.7,55.5,36.3,4.0,4.8,4.11,3.1,15.22,16.2,14.0,15.1,2.11,2.2,2.78,3.7,2.22,1.9,1.89,2.2,0.11,0.1,0.0,0.1,1,"Примера,"
2515,15347027,"Примера, 22-й тур, регулярный сезон, 22.01.2022 22:00",2022-01-22 22:00:00,Атлетико Мадрид,3,Валенсия,2,24,ясно,1.44,4.8,9.9,2.09,1.91,3.0,2.9,3,7,1,1,6,2,16,20,15,14,1.6,2.0,1.5,1.4,2,2,6,8,7,8,3,2,12.7,11.8,9.6,10.1,4.6,5.5,3.6,4.0,49.6,43.2,50.4,56.8,6.0,5.9,3.8,3.3,13.0,20.2,14.5,15.2,2.4,1.4,0.4,2.5,1.5,2.6,2.3,2.9,0.3,0.3,0.2,0.0,5,"Примера,"
